route_number,route_name,route_destination,day_type,day,time_period,early_stops,late_stops,on-time_stops,key,datetime_x,date,datetime_y,tempmax,tempmin,temp,dew,humidity,precip,snow,windgust,windspeed,visibility
66,Grant,Polo Park,Saturday,2025-02-01,16:00-18:30,41,97.0,79.0,66##Polo Park##20250201000000##Saturday##16:00-18:30,2025-02-02 10:30:00+00:00,2025-02-02,2025-02-02 00:00:00+00:00,23.4,-0.5,12.4,5.5,74.0,0.033,0.0,32.1,9.8,11.2
53,Norwood,Norwood,Weekday,2024-10-11,05:00-09:00,15,6.0,25.0,53##Norwood##20241011000000##Weekday##05:00-09:00,2024-10-11 14:00:00+00:00,2024-10-11,2024-10-11 00:00:00+00:00,51.1,34.6,39.3,36.0,88.0,0.0,0.0,26.4,10.5,10.1
38,Salter,The Forks,Weekday,2024-12-31,09:00-16:00,111,138.0,194.0,38##The Forks##20241231000000##Weekday##09:00-16:00,2025-01-01 01:00:00+00:00,2025-01-01,2025-01-01 00:00:00+00:00,13.2,8.1,10.4,5.3,79.5,0.009,0.0,18.8,5.8,5.6
78,Waverley,Polo Park,Weekday,2024-12-09,22:30-05:00,0,16.0,18.0,78##Polo Park##20241209000000##Weekday##22:30-05:00,2024-12-10 03:30:00+00:00,2024-12-10,2024-12-10 00:00:00+00:00,57.0,40.5,47.6,37.7,69.6,0.165,0.0,20.8,6.5,13.4
66,Grant,Unicity,Weekday,2025-01-03,05:00-09:00,25,45.0,215.0,66##Unicity##20250103000000##Weekday##05:00-09:00,2025-01-03 14:00:00+00:00,2025-01-03,2025-01-03 00:00:00+00:00,17.9,-2.7,7.8,-3.8,58.7,0.0,0.0,20.1,9.4,14.7
25,Ness Super Express,Unicity,Weekday,2025-01-02,18:30-22:30,0,23.0,6.0,25##Unicity##20250102000000##Weekday##18:30-22:30,2025-01-03 17:00:00+00:00,2025-01-03,2025-01-03 00:00:00+00:00,17.9,-2.7,7.8,-3.8,58.7,0.0,0.0,20.1,9.4,14.7
91,St. Norbert,Killarney,Sunday,2025-02-02,16:00-18:30,0,158.0,0.0,91##Killarney##20250202000000##Sunday##16:00-18:30,2025-02-03 10:30:00+00:00,2025-02-03,2025-02-03 00:00:00+00:00,37.8,16.3,27.8,19.0,69.3,0.0,0.0,24.2,7.7,14.9
78,Waverley,Polo Park,Sunday,2025-01-01,16:00-18:30,1,50.0,43.0,78##Polo Park##20250101000000##Sunday##16:00-18:30,2025-01-02 10:30:00+00:00,2025-01-02,2025-01-02 00:00:00+00:00,23.7,-2.7,11.5,3.7,70.7,0.002,0.1,30.0,9.3,13.3
53,Norwood,Norwood,Weekday,2024-10-10,16:00-18:30,3,75.0,19.0,53##Norwood##20241010000000##Weekday##16:00-18:30,2024-10-11 10:30:00+00:00,2024-10-11,2024-10-11 00:00:00+00:00,51.1,34.6,39.3,36.0,88.0,0.0,0.0,26.4,10.5,10.1
66,Grant,Polo Park,Weekday,2024-12-11,09:00-16:00,13,214.0,157.0,66##Polo Park##20241211000000##Weekday##09:00-16:00,2024-12-12 01:00:00+00:00,2024-12-12,2024-12-12 00:00:00+00:00,-4.7,-16.8,-11.8,-17.8,73.9,0.0,0.0,14.5,6.2,14.9
